sample_id,product,stiffness,hardness,cohesiveness,springiness,resilience,chewiness
cheese_tpa_bffd3af6672b,dairy_cheddar,393.5252091823551,9.890367249357386,0.3079143481491037,0.2620320855614973,0.1702024050702381,0.7979888408690643
cheese_tpa_8a9aa2a5f7f7,plant_mozzarella,222.7153855553525,5.59744815281691,0.1419434415757038,0.5016393442622951,1.0962319737381,0.398563020958744
cheese_tpa_f05f361dfb28,plant_cheddar,1067.851953891775,26.83804682774325,0.3447961533637089,0.3820359281437126,0.5549218097848868,3.535228795078213
cheese_tpa_0835267bc7dc,plant_mozzarella,241.6420349955732,6.073126735524643,0.1114002710880522,0.302945301542777,0.8502709961000839,0.2049570271710257
cheese_tpa_b5808b338214,dairy_feta,535.4376682756262,13.45701636087965,0.1428686512279029,0.9166666666666666,0.978759727034416,1.762370295611472
cheese_tpa_0b896b38213a,dairy_feta,249.9166207685378,6.281089758531397,0.212512122404857,0.7243589743589743,0.2641681464942199,0.9668799478391265
cheese_tpa_c5717455e627,dairy_feta,281.125585214474,7.065456585967382,0.1737504961312584,1.019417475728155,1.529199805285404,1.251463996666005
cheese_tpa_fffa93575acb,dairy_mozzarella,415.9126859717334,10.45302591026877,0.6490592254862496,0.8195991091314031,0.398959191838389,5.560679081694617
cheese_tpa_6b9331cc9a7f,plant_feta,210.3466065958994,5.28658683191376,0.1203308256169109,0.7512437810945274,1.201670221323842,0.4778957367419427
cheese_tpa_54a43720596b,dairy_cheddar,438.8445852227381,11.02936740002731,0.3672111839084445,0.3573200992555831,0.4947734651035693,1.447184656934078
cheese_tpa_09fdf24e7687,dairy_feta,435.6292446209326,10.94855707671994,0.1716162844264985,0.6666666666666666,1.64307163970209,1.252633790225415
cheese_tpa_94c88428c278,plant_cheddar,1029.075267303578,25.86348239801498,0.3145304347749688,0.3292533659730722,0.6103000919069983,2.678427522357413
cheese_tpa_592f1a5dd472,plant_feta,214.6937494127754,5.395842447414585,0.1153394851955237,0.1634615384615385,1.336135960083566,0.1017308916478481
cheese_tpa_e38e8c634158,plant_mozzarella,222.7153855553525,5.59744815281691,0.1419434415757038,0.5016393442622951,1.0962319737381,0.398563020958744
cheese_tpa_d619b17bc358,dairy_feta,246.9306720263474,6.20604468147171,0.1950114851520746,0.5812807881773399,0.5156850714973875,0.7034950682264233
cheese_tpa_ef9a96077199,plant_cheddar,1067.851953891775,26.83804682774325,0.3447961533637089,0.3820359281437126,0.5549218097848868,3.535228795078213
cheese_tpa_3a93a603763f,plant_cheddar,1046.58666582801,26.3035918456825,0.3580739013683119,0.341645885286783,0.6264427741677504,3.21783609987308
cheese_tpa_dd7238409c34,plant_cheddar,1029.075267303578,25.86348239801498,0.3145304347749688,0.3292533659730722,0.6103000919069983,2.678427522357413
cheese_tpa_794e14f9b87d,dairy_feta,244.3145364338069,6.140294022605151,0.1800360016708293,1.013029315960912,0.9541768336182123,1.119877554749126
cheese_tpa_c9034dbf55a7,plant_feta,236.7198468401372,5.949418654335009,0.09863932671390961,0.2603092783505155,1.390292376560957,0.1527616280687648
cheese_tpa_351bf5ee437f,dairy_feta,391.3222596489214,9.835001088793671,0.1651292492949719,0.9107142857142857,2.853603711202314,1.479042208517754
cheese_tpa_676b9b68320a,dairy_cheddar,443.5639639055668,11.14797832322317,0.2460135389108039,0.2907348242811502,0.1535038835225033,0.7973558386860469
cheese_tpa_7e909cdc8e6d,dairy_mozzarella,465.0539893867379,11.68808157264001,0.5730444058103992,0.4409282700421941,0.3302079360046744,2.953244851920057
cheese_tpa_3ca155f37a65,plant_mozzarella,254.7744371520363,6.403180000634494,0.147712802637753,0.6842105263157895,1.617267706183619,0.6471479804179205
cheese_tpa_1107fcd0533a,dairy_feta,259.4540139972813,6.520790594545938,0.2144607102950888,1.226053639846743,1.694009672889321,1.714578859882736
cheese_tpa_c7c5f4c480f7,dairy_mozzarella,415.9126859717334,10.45302591026877,0.6490592254862496,0.8195991091314031,0.398959191838389,5.560679081694617
cheese_tpa_cf94a08ba9b1,plant_cheddar,970.2800034336902,24.38579624569888,0.3231940550699451,0.3732833957553059,0.6382931236907199,2.941974991326221
cheese_tpa_a3a49ed81522,dairy_cheddar,727.2073924921683,18.27671521511668,0.4554843147649546,0.8221024258760108,0.4796748666320071,6.84380301159852
