participant_id,product,presentation_order,appearance,flavor,texture,shrimp_intensity,firmness,chewiness,overall,purchase,cata_shrimplike,cata_fishy,cata_salty,cata_savory,cata_bland,cata_firm,cata_tender,cata_chewy,cata_rubbery,cata_juicy,cata_naturallooking,cata_appealing_color,cata_fresh_aroma,cata_offflavor,cata_offodor
coast_3e81bac29756,plant_based,1,3,3,7,2.0,4.0,4.0,3,4.0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
coast_2f0d8f867d59,conventional,1,7,6,2,3.0,2.0,2.0,7,3.0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
coast_80ca07256912,conventional,1,9,7,6,3.0,3.0,3.0,7,2.0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1
coast_fe76c25f0d58,plant_based,2,3,5,3,1.0,3.0,3.0,4,5.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0
coast_52870874488b,conventional,1,9,6,9,3.0,3.0,3.0,6,3.0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1
coast_fc70aa3b8ff1,conventional,1,6,6,6,4.0,2.0,3.0,6,2.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
coast_1e5ccec1876d,plant_based,1,9,4,6,2.0,3.0,3.0,6,2.0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
coast_45aee3c4075d,conventional,2,7,6,7,3.0,2.0,3.0,7,3.0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
coast_7cf5c70716d0,conventional,2,7,6,6,4.0,3.0,3.0,6,3.0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0
coast_2c2cda3fb0a0,conventional,1,7,7,7,3.0,3.0,3.0,2,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
coast_802afa6a129f,conventional,1,6,6,6,3.0,2.0,2.0,6,2.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
coast_01ac7cc6d356,plant_based,1,7,6,7,2.0,3.0,3.0,7,1.0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1
coast_f80229821b0f,plant_based,2,2,9,7,3.0,2.0,2.0,2,3.0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
coast_fe76c25f0d58,conventional,1,9,9,7,3.0,3.0,2.0,6,3.0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1
coast_292048dc8b87,plant_based,1,9,6,6,2.0,3.0,3.0,6,2.0,1,1,1,0,0,0,0,1,0,1,1,1,0,0,0
coast_1c6a8b298dba,conventional,1,6,6,6,3.0,3.0,2.0,7,2.0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0
coast_cf9607f3d4e6,conventional,2,1,4,4,3.0,2.0,2.0,7,5.0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0
coast_6f7ad57baa5a,plant_based,2,6,7,6,3.0,2.0,2.0,7,2.0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
coast_5f332ffd5620,plant_based,1,2,6,2,3.0,3.0,4.0,7,2.0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0
coast_0e878c25bde8,plant_based,2,6,7,2,3.0,3.0,3.0,9,1.0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
coast_a3621d778efb,conventional,1,9,7,6,3.0,3.0,3.0,6,1.0,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1
coast_9ccad306c515,conventional,1,8,9,8,3.0,3.0,3.0,8,1.0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,1
coast_8bc3eef2ac6c,conventional,1,2,2,2,4.0,3.0,4.0,6,2.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
coast_70dca0739cf8,conventional,2,9,6,9,3.0,3.0,2.0,9,1.0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
coast_862618723810,plant_based,2,6,6,2,3.0,2.0,1.0,4,4.0,0,1,0,1,0,1,1,1,0,0,0,0,0,1,0
coast_55de95316a83,conventional,2,2,7,5,3.0,2.0,2.0,4,3.0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0
