sample_id,product,stiffness,hardness,cohesiveness,springiness,resilience,chewiness
coast_tpa_67fd89c7beb8,conventional_c,475.8421584358877,11.95921783368396,0.6168861774239852,0.4535274356103023,0.4779980305142015,3.345887850652666
coast_tpa_cb1a14fd0501,conventional_c,347.9142821056324,8.744039621936171,0.5579596943987294,0.3997912317327766,0.3504815136827699,1.950510126959118
coast_tpa_8a68acf0bfea,conventional_c,397.8470698227894,9.998987454460007,0.6584334361778594,0.7695390781563126,0.5885394609045068,5.066389548073614
coast_tpa_450015b43315,conventional_c,516.7027006971883,12.98615526880234,0.4442889954691319,0.4317673378076063,0.4551742294401104,2.491127370740037
coast_tpa_26ceae7ed0ba,conventional_a,260.92741068413,6.557821092203758,0.5974714142692663,0.6327944572748267,0.6782923779888986,2.479358697553261
coast_tpa_4b48af199a10,conventional_a,287.1585045619694,7.217080386781715,0.598039223187416,0.7112970711297071,0.5950005570012441,3.070027260220303
coast_tpa_7c3337e5fdfc,conventional_c,271.3425774844932,6.819582784251226,0.6708750756789867,0.391173520561685,0.5865472332539594,1.78965332540484
coast_tpa_5060c5570f7e,conventional_c,576.2925927470616,14.48381260553906,0.5073035743194374,0.4392033542976939,0.470236187649471,3.227130052423324
coast_tpa_887a606b6a53,plant_based,663.506417298229,16.6757350895504,0.7117163067587918,0.9630484988452656,0.6082724627300313,11.42983766791295
coast_tpa_d3f8da4bc177,plant_based,559.6723387373327,14.06610006235698,0.7992859890328997,0.8708240534521158,0.7956458468144288,9.79053262754811
coast_tpa_57dfc5527d3f,plant_based,663.506417298229,16.6757350895504,0.7117163067587918,0.9630484988452656,0.6082724627300313,11.42983766791295
coast_tpa_02f2146faf82,conventional_b,190.1863059271087,4.779903212111885,0.2902705856559604,0.7470997679814385,0.5714921796530084,1.036575007267389
coast_tpa_2f0ef4718bcf,conventional_b,387.7157458676645,9.744359511191536,0.498194937941913,0.522911051212938,0.4187481761200587,2.538519064422051
coast_tpa_81abbe400398,conventional_a,155.4603757304562,3.907145394552882,0.5201353086226052,0.6208425720620843,0.457357120922015,1.261703763140051
coast_tpa_19599b75cf0c,conventional_a,200.2649921378445,5.03320822457176,0.5605330156579423,0.5698924731182796,0.4825021578548512,1.60782588582085
coast_tpa_f409789550ac,conventional_a,93.76047726763106,2.3564578126485,0.3768107775646906,0.5764462809917356,0.3188311054113218,0.5118489617570445
coast_tpa_c192faf437d7,plant_based,595.3994732648798,14.96402088928143,0.7978631807938735,0.8744493392070485,0.7990694009977335,10.44026166908074
coast_tpa_66323ca402d1,conventional_a,146.0645710446698,3.671003066749432,0.4054183055926995,0.6014669926650367,0.4421505734070734,0.8951584191056255
coast_tpa_2721286fac1a,conventional_b,310.6808009849853,7.808260175886579,0.3453604854313446,0.3698324022346369,0.5654404807353228,0.9973139191975404
